timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:13:41,idle,all,22.93,1,1,0
2026-04-26T11:13:42,idle,all,29.94,1,1,0
2026-04-26T11:13:43,idle,all,30.18,1,1,0
2026-04-26T11:13:44,idle,all,29.70,1,1,0
2026-04-26T11:13:45,idle,all,29.99,1,1,0
2026-04-26T11:13:46,idle,all,29.98,1,1,0
2026-04-26T11:13:47,idle,all,29.98,1,1,0
2026-04-26T11:13:48,idle,all,29.94,1,1,0
2026-04-26T11:13:49,idle,all,30.01,1,1,0
2026-04-26T11:13:50,idle,all,29.97,1,1,0
2026-04-26T11:13:51,idle,all,30.23,1,1,0
2026-04-26T11:13:52,idle,all,28.92,1,1,0
2026-04-26T11:13:53,idle,all,29.98,1,1,0
2026-04-26T11:13:54,idle,all,29.83,1,1,0
2026-04-26T11:13:55,idle,all,29.94,1,1,0
2026-04-26T11:13:56,idle,all,30.19,1,1,0
2026-04-26T11:13:57,idle,all,29.74,1,1,0
2026-04-26T11:13:58,idle,all,30.00,1,1,0
2026-04-26T11:13:59,idle,all,30.18,1,1,0
2026-04-26T11:14:00,idle,all,29.77,1,1,0
2026-04-26T11:14:01,idle,all,30.20,1,1,0
2026-04-26T11:14:02,idle,all,29.95,1,1,0
2026-04-26T11:14:03,idle,all,29.92,1,1,0
2026-04-26T11:14:04,idle,all,29.89,1,1,0
2026-04-26T11:14:05,idle,all,29.92,1,1,1
2026-04-26T11:14:06,idle,all,30.03,1,1,1
2026-04-26T11:14:07,idle,all,29.97,1,1,1
2026-04-26T11:14:08,idle,all,29.98,1,1,1
2026-04-26T11:14:09,idle,all,29.93,1,1,1
2026-04-26T11:14:12,body_moving,all,25.16,1,1,0
2026-04-26T11:14:13,body_moving,all,29.89,1,1,1
2026-04-26T11:14:14,body_moving,all,29.98,1,1,1
2026-04-26T11:14:15,body_moving,all,29.98,1,1,1
2026-04-26T11:14:16,body_moving,all,30.19,1,1,1
2026-04-26T11:14:17,body_moving,all,29.97,1,1,1
2026-04-26T11:14:18,body_moving,all,29.75,1,1,1
2026-04-26T11:14:19,body_moving,all,29.97,1,1,0
2026-04-26T11:14:20,body_moving,all,29.98,1,1,0
2026-04-26T11:14:21,body_moving,all,29.98,1,1,1
2026-04-26T11:14:22,body_moving,all,29.97,1,1,1
2026-04-26T11:14:23,body_moving,all,30.00,1,1,1
2026-04-26T11:14:24,body_moving,all,30.00,1,1,1
2026-04-26T11:14:25,body_moving,all,30.14,1,1,1
2026-04-26T11:14:26,body_moving,all,29.88,1,1,0
2026-04-26T11:14:27,body_moving,all,30.02,1,1,0
2026-04-26T11:14:28,body_moving,all,29.93,1,1,0
2026-04-26T11:14:29,body_moving,all,30.06,1,1,0
2026-04-26T11:14:30,body_moving,all,29.96,1,1,1
2026-04-26T11:14:31,body_moving,all,29.98,1,1,1
2026-04-26T11:14:32,body_moving,all,29.85,1,1,1
2026-04-26T11:14:33,body_moving,all,29.99,1,1,1
2026-04-26T11:14:34,body_moving,all,30.00,1,1,1
2026-04-26T11:14:35,body_moving,all,29.93,1,1,1
2026-04-26T11:14:36,body_moving,all,30.04,1,1,1
2026-04-26T11:14:37,body_moving,all,29.93,1,1,1
2026-04-26T11:14:38,body_moving,all,29.93,1,1,0
2026-04-26T11:14:39,body_moving,all,30.00,1,1,0
2026-04-26T11:14:40,body_moving,all,30.40,0,1,0
2026-04-26T11:14:43,hand_near_face,all,24.26,1,1,0
2026-04-26T11:14:44,hand_near_face,all,29.86,1,1,0
2026-04-26T11:14:45,hand_near_face,all,29.93,1,1,0
